8810	-1	894000
8510	-1	859000
8210	-1	829000
8210	-1	831000
8210	-1	833000
7910	-1	806000
7310	-1	731000
7310	-1	753000
7010	-1	701000
6530	-1	653000
6510	-1	662000
6510	-1	681000
6110	-1	624000
5810	-1	588000
5810	-1	603000
5510	-1	554000
4910	-1	508000
4910	-1	513000
4210	-1	422000
4210	-1	423000
4210	-1	433000
4210	-1	437000
3910	-1	405000
3610	-1	361000
3610	-1	363000
3610	-1	375000
3610	-1	379000
3310	-1	337000
3310	-1	341000
2900	-1	290000
2610	-1	264000
1910	-1	207000
1610	-1	173000
1610	-1	175000
1210	-1	141000
